Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C18, C2, C24, C25, C29, C3, C4, C5, C6, C7, C8, C9",1206,20,0.1uF,
C17,0603,1,2.2uF|9mΩ,
"C19, C23",1206,2,3.4uF|4.66mΩ,
C20,0805,1,2.2nF,
C21,0603,1,6.8pF,
"C22, C28",0402,2,100nF|1mΩ,
C26,0805,1,22uF|3mΩ,
J10,JUSHUO_AFA07-S06FCA-00_1x6-1MP_P1.0mm_Horizontal,1,Conn_01x06,
J11,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
"J15, J19",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0_16P,
J2,SolderWire-4sqmm_1x02_P12mm_D3mm_OD6mm,1,DC022B (external),
"J20, J24, J27",SolderWire-4sqmm_1x02_P12mm_D3mm_OD6mm,3,Conn_01x02,
"J21, J25",Molex_200528-0040_1x04-1MP_P1.00mm_Horizontal,2,Conn_01x04,
J4,JST_PH_B9B-PH-K_1x09_P2.00mm_Vertical,1,Conn_01x09,
"J5, J7",USB_A_Receptacle_GCT_USB1046,2,USB_A,
L2,L_Coilcraft_XAL5020-XXX,1,560nH|8.3mΩ,
"M1, M2",FanPinHeader_1x04_P2.54mm_Vertical,2,Fan_4pin,
"Q1, Q2",TDSON-8-1,2,CSD17579Q5A,
"Q3, Q4",TO-220-3_Vertical,2,IRLZ44N,
"R1, R6, R8",1206,3,2.7k±1%,
R10,1206,1,24.3k,
R11,1206,1,2.8k,
R12,1206,1,6m,
"R13, R14",1206,2,10k,
"R15, R16, R17, R18, R21",1206,5,5.1k,
"R19, R20",1206,2,1k,
"R22, R5, R7",1206,3,5k±10%,
R3,1206,1,40.2k,
R4,1206,1,9.53k,
R9,1206,1,100k,
SW1,SW_SPST_Omron_B3F-50xx,1,SW_SPST,
"U1, U5, U6",SSOP-28_3.9x9.9mm_P0.635mm,3,FE1.1s,
U2,SOT-89-3_Handsoldering,1,LM1117F-3.3,
U3,SOT-89-3_Handsoldering,1,AMS1117-1.8,
U4,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U7,Texas_RGY_R-PVQFN-N24_EP2.05x3.1mm_ThermalVias,1,LM5148RGYR,
"Y1, Y3, Y4",Crystal_HC49-4H_Vertical,3,T49S12MLDBE2X,
